"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Status","Mature","Language","URL"
"1","https://static-cdn.jtvnw.net/jtv_user_pictures/bf6a04cf-3f44-4986-8eed-5c36bfad542b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","KaiCenat","7959901755","74715","879383","106536","19852125","4023562","Partner","false","English","https://www.twitch.tv/kaicenat"
"2","https://static-cdn.jtvnw.net/jtv_user_pictures/483a37ac-58fd-4e2f-8dc3-2c68a0164112-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Caedrel","6533337435","144390","422291","45247","1579991","401921","Partner","false","English","https://www.twitch.tv/caedrel"
"3","https://static-cdn.jtvnw.net/jtv_user_pictures/a9ce83ba-c0bd-49cc-83bd-9d17647a211a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","zackrawrr","5215805655","119265","309124","43732","2402428","222037","Partner","false","English","https://www.twitch.tv/zackrawrr"
"4","https://static-cdn.jtvnw.net/jtv_user_pictures/a4977cfd-1962-41ec-9355-ab2611b97552-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","kato_junichi0817","5032472220","177840","141624","28297","1191446","119479","Partner","false","Japanese","https://www.twitch.tv/kato_junichi0817"
"5","https://static-cdn.jtvnw.net/jtv_user_pictures/0347a9aa-e396-49a5-b0f1-31261704bab8-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","HasanAbi","4714125675","152715","222977","30868","3059503","174798","Partner","false","English","https://www.twitch.tv/hasanabi"
"6","https://static-cdn.jtvnw.net/jtv_user_pictures/645d98a0-a2eb-48a3-b687-cfbc55243e4a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Jynxzi","4359162375","156930","123302","27777","10652899","1892151","Partner","false","English","https://www.twitch.tv/jynxzi"
"7","https://static-cdn.jtvnw.net/jtv_user_pictures/4fb94c7a-b4c0-4ed1-9782-b630a59915d5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","eliasn97","4171896360","128265","147857","32525","2384092","193232","Partner","false","German","https://www.twitch.tv/eliasn97"
"8","https://static-cdn.jtvnw.net/jtv_user_pictures/574228be-01ef-4eab-bc0e-a4f6b68bedba-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ibai","4030606980","28830","9189762","139806","19851869","2573244","Partner","false","Spanish","https://www.twitch.tv/ibai"
"9","https://static-cdn.jtvnw.net/jtv_user_pictures/ef28ba12-c8ed-46d4-838b-a4c95ef5b469-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","caseoh_","3703598685","72555","98706","51045","8679697","1593688","Partner","false","English","https://www.twitch.tv/caseoh_"
"10","https://static-cdn.jtvnw.net/jtv_user_pictures/04abc1b4-7bad-4b55-8da8-c0f1cf031bda-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Papaplatte","3276477630","112005","118231","29252","3112259","352172","Partner","false","German","https://www.twitch.tv/papaplatte"
"11","https://static-cdn.jtvnw.net/jtv_user_pictures/d8a3e3e9-f70a-4634-bd59-b4a1cab834de-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","fps_shaka","3263171355","193650","75539","16850","1664867","96550","Partner","false","Japanese","https://www.twitch.tv/fps_shaka"
"12","https://static-cdn.jtvnw.net/jtv_user_pictures/48487d3b-e713-4a49-ad35-dec6ab7d690e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Lacy","2800325430","164205","105914","17054","2594232","1037797","Partner","false","English","https://www.twitch.tv/lacy"
"13","https://static-cdn.jtvnw.net/jtv_user_pictures/99aa4739-21d6-40af-86ae-4b4d3457fce4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","summit1g","2672044395","269100","29935","9929","6401532","68097","Partner","false","English","https://www.twitch.tv/summit1g"
"14","https://static-cdn.jtvnw.net/jtv_user_pictures/5742b015-e6ed-4f7c-a1dd-87cd88fe1eb9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ohnePixel","2662555035","76920","298362","34614","2930487","827006","Partner","false","English","https://www.twitch.tv/ohnepixel"
"15","https://static-cdn.jtvnw.net/jtv_user_pictures/xqc-profile_image-9298dca608632101-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","xQc","2619476550","115995","211423","22582","12520525","224657","Partner","false","English","https://www.twitch.tv/xqc"
"16","https://static-cdn.jtvnw.net/jtv_user_pictures/a04be2b0-9cc1-403c-a4b0-47b32d1fe640-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","jasontheween","2604028020","130725","118191","19919","2296742","1008017","Partner","false","English","https://www.twitch.tv/jasontheween"
"17","https://static-cdn.jtvnw.net/jtv_user_pictures/020d2ed3-c2f2-4d33-805f-92cf966a9c43-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","stableronaldo","2510576085","129720","115643","19353","4712149","707063","Partner","false","English","https://www.twitch.tv/stableronaldo"
"18","https://static-cdn.jtvnw.net/jtv_user_pictures/dbca03f2-578c-454f-8fa8-a76b089164e4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Kamet0","2334358545","120300","233351","19404","2118885","151577","Partner","false","French","https://www.twitch.tv/kamet0"
"19","https://static-cdn.jtvnw.net/jtv_user_pictures/4af340ba-8d13-44e8-9e72-14c4c86d1f20-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","evelone2004","2274971640","39015","423126","58310","2497726","1027772","Partner","false","Russian","https://www.twitch.tv/evelone2004"
"20","https://static-cdn.jtvnw.net/jtv_user_pictures/c754eebf-745b-4e0a-814a-10bcaecaabbc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","shroud","2261562225","177600","96765","12734","11300789","236957","Partner","false","English","https://www.twitch.tv/shroud"
"21","https://static-cdn.jtvnw.net/jtv_user_pictures/3f038015-59f4-44f3-8a82-7437d3afd068-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Coringa","2194421730","82080","202668","26735","7153201","839384","Partner","false","Portuguese","https://www.twitch.tv/coringa"
"22","https://static-cdn.jtvnw.net/jtv_user_pictures/ea0fe422-84bd-4aee-9d10-fd4b0b3a7054-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Gaules","2140016070","523410","124161","4088","4323475","99989","Partner","false","Portuguese","https://www.twitch.tv/gaules"
