"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Status","Mature","Language","URL"
"1","https://static-cdn.jtvnw.net/jtv_user_pictures/bf6a04cf-3f44-4986-8eed-5c36bfad542b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","KaiCenat","6917573295","111585","348593","61993","19852125","4942097","Partner","false","English","https://www.twitch.tv/kaicenat"
"2","https://static-cdn.jtvnw.net/jtv_user_pictures/ea0fe422-84bd-4aee-9d10-fd4b0b3a7054-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Gaules","6622047810","521235","253831","12704","4323475","239255","Partner","false","Portuguese","https://www.twitch.tv/gaules"
"3","https://static-cdn.jtvnw.net/jtv_user_pictures/574228be-01ef-4eab-bc0e-a4f6b68bedba-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ibai","6263825640","82980","3442745","75485","19851869","3188636","Partner","false","Spanish","https://www.twitch.tv/ibai"
"4","https://static-cdn.jtvnw.net/jtv_user_pictures/xqc-profile_image-9298dca608632101-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","xQc","5740774005","111765","126238","51364","12520525","497607","Partner","false","English","https://www.twitch.tv/xqc"
"5","https://static-cdn.jtvnw.net/jtv_user_pictures/d8a3e3e9-f70a-4634-bd59-b4a1cab834de-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","fps_shaka","5015411025","211860","125341","23673","1664867","314502","Partner","false","Japanese","https://www.twitch.tv/fps_shaka"
"6","https://static-cdn.jtvnw.net/jtv_user_pictures/881bf9b5-a6bb-419a-950a-b15a36e0dd0e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","kingsleague","4808510700","36330","1098636","132356","3279516","2357734","Partner","false","Spanish","https://www.twitch.tv/kingsleague"
"7","https://static-cdn.jtvnw.net/jtv_user_pictures/f04d2a14-8d63-4cd5-a469-7ec2cd6e5ce3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","tarik","4397973510","140745","215660","31247","3313124","540770","Partner","false","English","https://www.twitch.tv/tarik"
"8","https://static-cdn.jtvnw.net/jtv_user_pictures/0347a9aa-e396-49a5-b0f1-31261704bab8-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","HasanAbi","3849415755","150030","82098","25657","3059503","239714","Partner","false","English","https://www.twitch.tv/hasanabi"
"9","https://static-cdn.jtvnw.net/jtv_user_pictures/4fb94c7a-b4c0-4ed1-9782-b630a59915d5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","eliasn97","3802581165","160065","152249","23756","2384092","387891","Partner","false","German","https://www.twitch.tv/eliasn97"
"10","https://static-cdn.jtvnw.net/jtv_user_pictures/593b5641-c626-4ba4-ba49-11cb33f6c3e8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","IlloJuan","3737012790","98280","151594","38024","4587943","1077925","Partner","false","Spanish","https://www.twitch.tv/illojuan"
