"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Status","Mature","Language","URL"
"21","https://static-cdn.jtvnw.net/jtv_user_pictures/7d354ef2-b2a8-4276-8c12-5be7f6301ae0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","hanryang1125","2371413705","176595","44351","13428","615973","90603","38630141","Partner","false","Korean","https://www.twitch.tv/hanryang1125"
"22","https://static-cdn.jtvnw.net/jtv_user_pictures/35b02a12-d516-499e-90f8-7899f136fa18-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","riotgames","2351079105","78180","654205","30072","7358758","634937","47142006","Partner","false","English","https://www.twitch.tv/riotgames"
"23","https://static-cdn.jtvnw.net/jtv_user_pictures/446206f8-0acf-4090-8948-89c09794ccbc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Riot_esports_Korea","2299170720","49080","349104","46844","1331675","312613","86182524","Partner","false","Korean","https://www.twitch.tv/riot_esports_korea"
"24","https://static-cdn.jtvnw.net/jtv_user_pictures/544413a8-8527-4a15-aa13-16dc9432735b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","csgo_mc","2273258535","131145","364816","17333","1222562","655141","75529641","Partner","false","Russian","https://www.twitch.tv/csgo_mc"
"25","https://static-cdn.jtvnw.net/jtv_user_pictures/1e642efd-cdd0-41a3-9ded-f10e9898bca1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Dota2RuHub","2271232275","166935","103238","13605","924092","161609","69589785","Partner","false","Russian","https://www.twitch.tv/dota2ruhub"
"26","https://static-cdn.jtvnw.net/jtv_user_pictures/6d33e15c-f918-468f-9a29-f56399786532-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Pestily","2234889600","136515","226470","16370","1480663","582368","29967281","Partner","false","English","https://www.twitch.tv/pestily"
"27","https://static-cdn.jtvnw.net/jtv_user_pictures/148c3b8a-a78b-4139-a429-7d3d90ce8a27-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","CohhCarnage","2198814150","187965","66023","11697","1714648","126778","39815294","Partner","false","English","https://www.twitch.tv/cohhcarnage"
"28","https://static-cdn.jtvnw.net/jtv_user_pictures/8f89b1cc-4c97-4e2b-a6d8-b288f3963bc5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Castro_1021","2138813655","106095","125133","20158","3716579","613935","24468184","Partner","false","English","https://www.twitch.tv/castro_1021"
"29","https://static-cdn.jtvnw.net/jtv_user_pictures/b3fc1f16-0818-4121-8711-c31b9469bc21-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","GamesDoneQuick","2090488575","98235","234826","21280","2071075","154959","49832354","Partner","false","English","https://www.twitch.tv/gamesdonequick"
"30","https://static-cdn.jtvnw.net/jtv_user_pictures/6f36c08a-6f7d-40f1-a9e8-12eee2ff0f93-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","MontanaBlack88","2089001580","57075","170816","36600","5759101","1118097","32499850","Partner","false","German","https://www.twitch.tv/montanablack88"
"31","https://static-cdn.jtvnw.net/jtv_user_pictures/38bcb747-1d2e-42c0-ad59-6f11fa5e8c86-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","RocketLeague","2004013905","43500","204724","46068","4852987","1144278","77051892","Partner","false","English","https://www.twitch.tv/rocketleague"
"32","https://static-cdn.jtvnw.net/jtv_user_pictures/ab4a35d8-8008-41b8-b0e5-db622e4c0a6f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ROSHTEIN","1948732350","153795","36442","12670","1041742","218282","22103995","Community","true","English","https://www.twitch.tv/roshtein"
"33","https://static-cdn.jtvnw.net/jtv_user_pictures/e5e89aba-723b-4ba1-852c-d8fba19b1da1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","YoDa","1946966685","144030","132814","13517","2459382","423257","43572136","Partner","false","Portuguese","https://www.twitch.tv/yoda"
"34","https://static-cdn.jtvnw.net/jtv_user_pictures/74586414-e27b-4347-89c5-109e42ac3e1d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","juansguarnizo","1923408060","141525","140500","13590","11674676","2218439","31704639","Partner","false","Spanish","https://www.twitch.tv/juansguarnizo"
"35","https://static-cdn.jtvnw.net/jtv_user_pictures/a6af42bf-64db-42f6-9db6-88d3e85e4c34-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","DrLupo","1919749845","178680","131048","10743","4396717","679691","59385508","Partner","false","English","https://www.twitch.tv/drlupo"
"36","https://static-cdn.jtvnw.net/jtv_user_pictures/b470b382-2bd7-489f-9755-1af47d0b0f6f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","LEC","1912132740","57570","388794","33213","2109683","678235","33166233","Partner","false","English","https://www.twitch.tv/lec"
"37","https://static-cdn.jtvnw.net/jtv_user_pictures/c754eebf-745b-4e0a-814a-10bcaecaabbc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","shroud","1893472500","64290","471281","29451","11300789","1466672","51619777","Partner","false","English","https://www.twitch.tv/shroud"
"38","https://static-cdn.jtvnw.net/jtv_user_pictures/22a56845-20d0-4e14-932e-0ec099b088eb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Trymacs","1883494695","128205","69222","14690","3930460","772115","30379105","Partner","false","German","https://www.twitch.tv/trymacs"
"39","https://static-cdn.jtvnw.net/jtv_user_pictures/3c3396bb-67d9-480c-95e5-2970a1f2aed4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","LCS","1854319605","36945","241509","50191","1967330","580815","34291706","Partner","false","English","https://www.twitch.tv/lcs"
