"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Status","Mature","Language","URL"
"1","https://static-cdn.jtvnw.net/jtv_user_pictures/xqc-profile_image-9298dca608632101-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","xQc","16355625675","218100","175453","74991","12520525","2496466","221231390","Partner","false","English","https://www.twitch.tv/xqc"
"2","https://static-cdn.jtvnw.net/jtv_user_pictures/ea0fe422-84bd-4aee-9d10-fd4b0b3a7054-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Gaules","9926862510","516780","340771","19209","4323475","928280","148219469","Partner","false","Portuguese","https://www.twitch.tv/gaules"
"3","https://static-cdn.jtvnw.net/jtv_user_pictures/f1ea7d5a-ab2c-4e91-bba5-3ce211adfc3b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","auronplay","7081224255","64785","317437","109303","17012444","4557864","133216503","Partner","false","Spanish","https://www.twitch.tv/auronplay"
"4","https://static-cdn.jtvnw.net/jtv_user_pictures/574228be-01ef-4eab-bc0e-a4f6b68bedba-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ibai","6181486545","84075","1538645","73523","19851869","4404701","176880410","Partner","false","Spanish","https://www.twitch.tv/ibai"
"5","https://static-cdn.jtvnw.net/jtv_user_pictures/3f038015-59f4-44f3-8a82-7437d3afd068-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Coringa","5944157520","94230","308169","63081","7153201","1839822","37697858","Partner","false","Portuguese","https://www.twitch.tv/coringa"
"6","https://static-cdn.jtvnw.net/jtv_user_pictures/99aa4739-21d6-40af-86ae-4b4d3457fce4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","summit1g","5508843420","216870","106801","25401","6401532","291068","74516866","Partner","false","English","https://www.twitch.tv/summit1g"
"7","https://static-cdn.jtvnw.net/jtv_user_pictures/c754eebf-745b-4e0a-814a-10bcaecaabbc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","shroud","5097450900","150975","340617","33763","11300789","1191248","125009176","Partner","false","English","https://www.twitch.tv/shroud"
"8","https://static-cdn.jtvnw.net/jtv_user_pictures/0347a9aa-e396-49a5-b0f1-31261704bab8-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","HasanAbi","4934399820","181320","223056","27213","3059503","885087","54284621","Partner","false","English","https://www.twitch.tv/hasanabi"
"9","https://static-cdn.jtvnw.net/jtv_user_pictures/b04e20be-6c0b-4379-b163-7f9a928e03f0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","NICKMERCS","4822221525","114660","371609","42056","6766464","1424950","66218881","Partner","false","English","https://www.twitch.tv/nickmercs"
"10","https://static-cdn.jtvnw.net/jtv_user_pictures/bc9e7c87-c85a-45a6-9e45-0eb1e87eb47a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","TheGrefg","4686003540","130470","2298485","35916","12286014","3633896","143902875","Partner","false","Spanish","https://www.twitch.tv/thegrefg"
"11","https://static-cdn.jtvnw.net/jtv_user_pictures/446206f8-0acf-4090-8948-89c09794ccbc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Riot_esports_Korea","4623406935","73125","628851","63226","1331675","395494","153079797","Partner","false","Korean","https://www.twitch.tv/riot_esports_korea"
"12","https://static-cdn.jtvnw.net/jtv_user_pictures/f3591dbe4ee3d94b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","loltyler1","4605786840","160485","98136","28699","5496662","723978","75783827","Partner","false","English","https://www.twitch.tv/loltyler1"
"13","https://static-cdn.jtvnw.net/jtv_user_pictures/c1ecbcd5-b8b6-4e0c-9d5f-e01d610aa97d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ESLCS","4493018730","491835","267681","9135","6807320","788238","140684539","Partner","false","English","https://www.twitch.tv/eslcs"
"14","https://static-cdn.jtvnw.net/jtv_user_pictures/74586414-e27b-4347-89c5-109e42ac3e1d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","juansguarnizo","4218338625","137310","110574","30721","11674676","3617172","95246098","Partner","false","Spanish","https://www.twitch.tv/juansguarnizo"
