"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Status","Mature","Language","URL"
"1","https://static-cdn.jtvnw.net/jtv_user_pictures/bf6a04cf-3f44-4986-8eed-5c36bfad542b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","KaiCenat","11619430905","123465","672744","94111","19852125","7324852","Partner","false","English","https://www.twitch.tv/kaicenat"
"2","https://static-cdn.jtvnw.net/jtv_user_pictures/574228be-01ef-4eab-bc0e-a4f6b68bedba-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ibai","5544309495","80475","3846256","68894","19851869","1823789","Partner","false","Spanish","https://www.twitch.tv/ibai"
"3","https://static-cdn.jtvnw.net/jtv_user_pictures/ea0fe422-84bd-4aee-9d10-fd4b0b3a7054-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Gaules","4885825305","525090","207635","9304","4323475","175203","Partner","false","Portuguese","https://www.twitch.tv/gaules"
"4","https://static-cdn.jtvnw.net/jtv_user_pictures/645d98a0-a2eb-48a3-b687-cfbc55243e4a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Jynxzi","4815798525","92910","228099","51833","10652899","3215910","Partner","false","English","https://www.twitch.tv/jynxzi"
"5","https://static-cdn.jtvnw.net/jtv_user_pictures/483a37ac-58fd-4e2f-8dc3-2c68a0164112-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Caedrel","4741249590","145440","372043","32599","1579991","451883","Partner","false","English","https://www.twitch.tv/caedrel"
"6","https://static-cdn.jtvnw.net/jtv_user_pictures/a4977cfd-1962-41ec-9355-ab2611b97552-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","kato_junichi0817","4704591210","182055","292323","25841","1191446","162144","Partner","false","Japanese","https://www.twitch.tv/kato_junichi0817"
"7","https://static-cdn.jtvnw.net/jtv_user_pictures/d8a3e3e9-f70a-4634-bd59-b4a1cab834de-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","fps_shaka","4679438145","213180","99491","21950","1664867","192813","Partner","false","Japanese","https://www.twitch.tv/fps_shaka"
"8","https://static-cdn.jtvnw.net/jtv_user_pictures/ef28ba12-c8ed-46d4-838b-a4c95ef5b469-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","caseoh_","4393804545","81105","110574","54174","8679697","4713104","Partner","false","English","https://www.twitch.tv/caseoh_"
"9","https://static-cdn.jtvnw.net/jtv_user_pictures/0347a9aa-e396-49a5-b0f1-31261704bab8-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","HasanAbi","4296539790","165990","312431","25884","3059503","244956","Partner","false","English","https://www.twitch.tv/hasanabi"
"10","https://static-cdn.jtvnw.net/jtv_user_pictures/4fb94c7a-b4c0-4ed1-9782-b630a59915d5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","eliasn97","4067728140","145035","207475","28046","2384092","359813","Partner","false","German","https://www.twitch.tv/eliasn97"
"11","https://static-cdn.jtvnw.net/jtv_user_pictures/04abc1b4-7bad-4b55-8da8-c0f1cf031bda-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Papaplatte","3917570175","130980","77408","29909","3112259","639119","Partner","false","German","https://www.twitch.tv/papaplatte"
"12","https://static-cdn.jtvnw.net/jtv_user_pictures/a9ce83ba-c0bd-49cc-83bd-9d17647a211a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","zackrawrr","3764892090","136380","216159","27605","2402428","350513","Partner","false","English","https://www.twitch.tv/zackrawrr"
"13","https://static-cdn.jtvnw.net/jtv_user_pictures/99aa4739-21d6-40af-86ae-4b4d3457fce4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","summit1g","3299215695","271395","38926","12156","6401532","74604","Partner","false","English","https://www.twitch.tv/summit1g"
"14","https://static-cdn.jtvnw.net/jtv_user_pictures/f04d2a14-8d63-4cd5-a469-7ec2cd6e5ce3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","tarik","2894110185","108735","278904","26616","3313124","299911","Partner","false","English","https://www.twitch.tv/tarik"
"15","https://static-cdn.jtvnw.net/jtv_user_pictures/05396d4d-7af0-4b9b-8c7e-c03563b4d448-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Baiano","2762825010","496335","114526","5566","1064308","101313","Partner","false","Portuguese","https://www.twitch.tv/baiano"
"16","https://static-cdn.jtvnw.net/jtv_user_pictures/a58575dc-6414-45f7-a2da-a1ea2bed2e1f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","otplol_","2643758130","497040","181342","5319","797456","72609","Partner","false","French","https://www.twitch.tv/otplol_"
"17","https://static-cdn.jtvnw.net/jtv_user_pictures/dbca03f2-578c-454f-8fa8-a76b089164e4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Kamet0","2536115295","127365","174907","19912","2118885","148563","Partner","false","French","https://www.twitch.tv/kamet0"
"18","https://static-cdn.jtvnw.net/jtv_user_pictures/3f038015-59f4-44f3-8a82-7437d3afd068-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Coringa","2324287995","96405","127056","24109","7153201","1110051","Partner","false","Portuguese","https://www.twitch.tv/coringa"
"19","https://static-cdn.jtvnw.net/jtv_user_pictures/be4e8251-2cd7-453c-8a83-41412cfa48dc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Lord_Kebun","2182964670","142710","44884","15296","708949","124260","Partner","false","English","https://www.twitch.tv/lord_kebun"
"20","https://static-cdn.jtvnw.net/jtv_user_pictures/c754eebf-745b-4e0a-814a-10bcaecaabbc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","shroud","2181991740","158565","57205","13760","11300789","362454","Partner","false","English","https://www.twitch.tv/shroud"
"21","https://static-cdn.jtvnw.net/jtv_user_pictures/f1ea7d5a-ab2c-4e91-bba5-3ce211adfc3b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","auronplay","2174698665","44595","274905","48765","17012444","762935","Partner","false","Spanish","https://www.twitch.tv/auronplay"
"22","https://static-cdn.jtvnw.net/jtv_user_pictures/9e619d88755f56a8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","NoWay4u_Sir","2147997195","177720","38105","12086","780777","71386","Partner","false","German","https://www.twitch.tv/noway4u_sir"
"23","https://static-cdn.jtvnw.net/jtv_user_pictures/f3591dbe4ee3d94b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","loltyler1","2081876505","131190","68656","15869","5496662","127957","Partner","false","English","https://www.twitch.tv/loltyler1"
"24","https://static-cdn.jtvnw.net/jtv_user_pictures/c1ecbcd5-b8b6-4e0c-9d5f-e01d610aa97d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ESLCS","2059974195","465240","226273","4428","6807320","193015","Partner","false","English","https://www.twitch.tv/eslcs"
"25","https://static-cdn.jtvnw.net/jtv_user_pictures/38e925fc-0b07-4e1e-82e2-6639e01344f3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","LIRIK","1972137540","125865","42265","15668","2996817","26235","Partner","false","English","https://www.twitch.tv/lirik"
